"inputfile","outputfile","vowel","interval","duration","start","end","previous_sound","next_sound","word","file","f0","duration.1","label","group","color","number","cutoff","f11","f21","f31","f12","f22","f32","f13","f23","f33","f14","f24","f34","f15","f25","f35"
"01_26_audio","01_26_audio_0059","ú",184,0.09668106049,4715.353626,4715.450307,"m","s","tmúsmes","01_26_audio_0059",276.7,0.096,"u2",10,"Purple",59,7250,425,1029,3077,451,971,3126,400,974,3033,320,1566,3147,308,2103,3251
"p2","p2_0336","ú",1057,0.1797999789,224.2887463,224.4685463,"k7","ts1","k̓útse","p2_0336",283.8,0.178,"u2",11,"Teal",336,5932,461,980,3024,511,894,2970,400,1204,3004,323,1280,3005,318,1670,3143
"03_09_audio","03_09_audio_0071","e",233,0.122506586,1479.294756,1479.417263,"t","q","teqtsiqw","03_09_audio_0071",280.8,0.122,"e1",2,"Blue",439,5750,444,2501,2982,482,2432,2689,399,2337,2673,304,2431,2748,424,2129,2453
"04_20_audio","04_20_audio_0005","ú",18,0.142448608,28.11044293,28.25289153,"n","c","Tscwinúcwkn-k","04_20_audio_0005",287.1,0.142,"u2",10,"Purple",810,7250,435,2233,2761,468,1587,2781,399,1236,2954,343,1075,3883,315,929,3957
"01_26_audio","01_26_audio_0019","e",48,0.1193508135,1676.334191,1676.453542,"n","c","necíkwem","01_26_audio_0019",220,0.118,"e1",2,"Blue",19,6800,361,2076,2911,431,2091,2836,397,2007,2771,394,1908,2803,397,1795,2842
"p2","p2_0091","í",283,0.09943800493,57.49574491,57.59518292,"s","s","síse7","p2_0091",240.2,0.098,"i2",9,"Lime",91,5500,346,2260,2945,394,2322,2915,397,2387,2998,370,2440,2994,359,2434,3053
"04_05_b_audio","04_05_b_audio_0021","e",80,0.2192712496,637.6027733,637.8220446,"kw","-","Xqemqmetkwe / still water (3)","04_05_b_audio_0021",285.1,0.218,"e1",2,"Blue",722,4700,606,1141,1366,627,810,1500,396,938,1608,299,1387,1719,306,1630,2128
"p2","p2_0224","ə1",671,0.06226191135,138.3658411,138.428103,"w","7","w7éce","p2_0224",176.1,0.062,"b1",6,"Yellow",224,7550,398,768,3979,387,768,4138,395,832,4139,461,926,3738,572,977,4041
"p2","p2_0322","í",1005,0.09609088318,212.8296277,212.9257186,"w","s","wísemcen","p2_0322",194.9,0.096,"i2",9,"Lime",322,6579,394,1060,2794,396,1249,2728,395,1652,2685,406,2051,2791,384,2205,2834
"03_09_audio","03_09_audio_0090","u",297,0.1969409673,1911.343034,1911.539975,"p","p","wupupépel̓cken","03_09_audio_0090",248.3,0.196,"u1",5,"Olive",458,6350,430,941,2788,508,1027,2986,394,900,2690,235,814,2375,226,878,2895
"p2","p2_0323","e",1007,0.06912837412,213.0622797,213.1314081,"s","m","wísemcen","p2_0323",182.5,0.068,"e1",2,"Blue",323,5500,450,1370,2749,459,1412,2791,394,1244,2721,360,1142,2508,358,1186,2534
"03_09_audio","03_09_audio_0049","í",157,0.1349123162,1061.164405,1061.299317,"ts","ts","Lé7 te tsitslem te kw̓elltiyénecum","03_09_audio_0049",279,0.134,"i2",3,"Black",417,5900,370,2485,2687,481,2447,2621,390,2381,2956,294,2441,3234,309,2363,3125
"p2","p2_0273","í",798,0.1573885757,162.18,162.3373886,"cw","7","cwi7","p2_0273",271.9,0.156,"i2",9,"Lime",273,6471,531,1477,2680,500,1960,2626,390,2328,2710,492,2436,2742,432,2552,2884
"04_05_a_audio","04_05_a_audio_0015","í",71,0.1062290707,538.1909757,538.2972048,"s","s","cpespesíselt / kittens (1)","04_05_a_audio_0015",278.2,0.106,"i2",8,"Black",669,5900,309,2342,2902,371,2412,2920,388,2542,2890,360,2526,3043,350,2581,3252
"01_26_audio","01_26_audio_0008","e",20,0.06233892496,1455.075642,1455.13798,"t","t","petetét","01_26_audio_0008",191.9,0.062,"e1",2,"Blue",8,6650,396,2012,2955,402,1971,2891,387,1906,2881,359,1898,2833,343,1917,2870
"02_16_audio","02_16_audio_0043","í",159,0.14893009,3305.27723,3305.42616,"w","k","gyepuwíken","02_16_audio_0043",233.1,0.148,"i2",8,"Black",215,5750,477,1957,2767,448,2445,2786,387,2590,2810,350,2656,2935,283,2653,3152
"03_09_audio","03_09_audio_0063","ú",203,0.1720650488,1115.253077,1115.425142,"t","y","túyellc","03_09_audio_0063",291,0.172,"u2",10,"Purple",431,6200,334,1762,2743,378,1207,2789,387,1174,2963,380,1296,2999,347,1803,2853
"p2","p2_0320","e",997,0.1079206463,210.5883983,210.6963189,"s","m","wísemcen","p2_0320",185.1,0.106,"e1",2,"Blue",320,6255,438,1673,2743,443,1200,2717,387,1199,2635,378,943,2677,358,775,2690
"p2","p2_0069","e",222,0.1697305764,45.13026942,45.3,"l","k","cw7álekwe","p2_0069",240.2,0.168,"e1",2,"Blue",69,7226,425,1138,2913,392,988,3051,386,929,3276,345,845,3232,352,1264,3265
"03_23_audio","03_23_audio_0029","i",103,0.06187270158,1487.852181,1487.914053,"w","cw","scwicwéye - ant (2)","03_23_audio_0029",189.6,0.06,"i1",3,"Black",602,5300,396,2226,2743,391,2257,2715,385,2585,2696,378,2593,2691,367,2462,2712
"03_09_audio","03_09_audio_0061","e",197,0.08268570678,1065.914444,1065.99713,"n","k","Lé7 te tsitslem te kw̓elltiyénecum","03_09_audio_0061",193.9,0.082,"e1",2,"Blue",429,7250,501,1197,3089,470,1012,3041,380,1172,3008,383,1191,3210,393,1111,3351
"p2","p2_0129","e",388,0.1510889049,79.20186839,79.35295729,"qw","ts2","mqwets(étse)","p2_0129",163.6,0.15,"e1",2,"Blue",129,7334,519,919,2691,463,1439,2528,380,1505,2713,365,1412,2688,352,1300,2635
"p2","p2_0217","ú",647,0.1356801541,134.5797518,134.715432,"ts2","t","mstntsútk","p2_0217",180.5,0.134,"u2",11,"Teal",217,5500,393,1681,2485,388,1535,2465,379,1496,2431,362,1485,2459,360,1611,2514
"02_09_audio","02_09_audio_0060","e",204,0.0813749062,2296.637936,2296.719311,"w","t","swetí7","02_09_audio_0060",186.2,0.08,"e1",2,"Blue",127,6050,557,1865,3019,505,1935,3021,378,2028,3138,381,2048,3115,377,2061,3324
"02_16_audio","02_16_audio_0019","í",73,0.1195009531,2370.899484,2371.018984,"w","s","xwisteten","02_16_audio_0019",184.4,0.118,"i2",3,"Black",191,5750,456,1355,2789,393,1658,2750,378,2270,2843,362,2460,2899,334,2499,2971
"04_05_b_audio","04_05_b_audio_0015","e",60,0.1857854327,633.1559493,633.3417347,"q","-","Xqemqmetkwe / still water (1)","04_05_b_audio_0015",294.9,0.184,"e1",2,"Blue",716,4700,606,1039,1358,539,833,1653,376,833,1655,324,1541,1740,327,1653,1782
"03_09_audio","03_09_audio_0026","u",89,0.1696084097,635.685554,635.8551624,"c","m","kw̓elltiyénecum","03_09_audio_0026",202.3,0.168,"u1",5,"Olive",394,6800,459,1028,2494,490,1008,2654,375,1069,2751,344,1104,2846,448,1419,2909
"03_09_audio","03_09_audio_0073","e",241,0.08614673005,1481.190356,1481.276503,"t","q","teqtsiqw","03_09_audio_0073",258.1,0.086,"e1",2,"Blue",441,5300,437,2232,2883,415,2162,2818,375,2154,2828,353,2259,2849,354,2211,2735
"04_05_b_audio","04_05_b_audio_0001","e",3,0.07700593748,117.8960224,117.9730284,"k","t","ketkét̕t / dirty (1)","04_05_b_audio_0001",139,0.076,"e1",2,"Blue",702,5150,416,2414,2761,417,2369,2788,375,2266,2750,380,2320,2928,416,2459,2986
"03_23_audio","03_23_audio_0032","i",112,0.0743738748,1490.963944,1491.038318,"w","w","scwicwéye - ant (3)","03_23_audio_0032",184.3,0.074,"i1",3,"Black",605,7100,381,1953,2560,378,2232,2507,371,2419,2506,365,2379,2506,360,2079,2508
"p2","p2_0211","í",630,0.1574554498,131.6826082,131.8400637,"7","kw","t7ikw","p2_0211",254.6,0.156,"i2",9,"Lime",211,5716,436,2550,3150,413,2704,3046,371,2627,2805,342,2498,2749,346,2329,2788
"p2","p2_0335","e",1054,0.2630378238,223.0663933,223.3294312,"ts1","-","k̓útse","p2_0335",135.1,0.262,"e1",2,"Blue",335,5500,466,1726,2800,500,1591,2729,371,1325,2798,1131,1355,2779,1146,1359,2936
"01_26_audio","01_26_audio_0044","ə2",122,0.1069221283,4280.054282,4280.161204,"ts","kw","tskwlots̓","01_26_audio_0044",255.4,0.106,"b2",11,"Teal",44,5000,414,1817,2661,388,1720,2669,370,1710,2641,376,1708,2780,390,1862,3121
"p2","p2_0244","ə2",723,0.08262463951,148.0767256,148.1593503,"w","ts2","mqwtséqen","p2_0244",263.5,0.082,"b2",12,"Navy",244,5500,543,1325,2558,516,1516,2601,367,1489,2528,373,1441,2518,404,1571,2533
"01_26_audio","01_26_audio_0022","e",55,0.138473225,1678.789778,1678.928251,"n","c","necíkwem","01_26_audio_0022",219.2,0.138,"e1",2,"Blue",22,7550,359,2164,2904,412,2210,2842,366,2123,2772,308,1981,2929,448,1842,3548
"01_26_audio","01_26_audio_0060","e",187,0.0868410247,4715.668136,4715.754977,"m","s","tmúsmes","01_26_audio_0060",172.1,0.086,"e1",2,"Blue",60,6950,407,1518,2751,382,1580,2797,366,1653,2840,349,1689,2965,327,1834,3071
"03_30_audio","03_30_audio_0011","ú",83,0.09243836637,610.8016258,610.8940642,"k","p","ckúpcen̓","03_30_audio_0011",320.5,0.092,"u2",10,"Purple",629,6200,334,1038,2729,338,995,2794,363,984,2823,375,900,2797,350,891,2812
"04_20_audio","04_20_audio_0040","í",133,0.1513273292,713.6037188,713.7550461,"w","qw","T̓uqweqwíqw","04_20_audio_0040",304.9,0.15,"i2",8,"Black",845,6950,436,1647,2696,342,1937,2739,363,2010,2809,344,1797,2927,1103,1886,3748
"p2","p2_0240","ə2",713,0.07969758884,146.3197208,146.3994184,"w","ts2","mqwtséqen","p2_0240",181,0.078,"b2",12,"Navy",240,7550,515,1506,2836,368,1465,2822,356,1476,2674,397,1464,2924,387,1551,2897
"01_26_audio","01_26_audio_0007","e",18,0.1478175729,1454.878203,1455.02602,"p","t","petetét","01_26_audio_0007",230.4,0.146,"e1",2,"Blue",7,6050,523,1860,2727,505,1877,2873,352,1885,2859,571,1896,2903,570,1844,2920
"02_09_audio","02_09_audio_0059","í",201,0.1467056695,2294.176212,2294.322918,"t","-","swetí7","02_09_audio_0059",301.2,0.146,"i2",8,"Black",126,5600,420,2230,3153,433,2533,3069,352,2551,3112,405,2642,3066,435,2690,3132
"01_26_audio","01_26_audio_0042","ə2",115,0.07177986402,4275.859007,4275.930786,"ts","kw","tskwlots̓","01_26_audio_0042",322.5,0.07,"b2",11,"Teal",42,6650,390,2009,2743,396,1721,2714,349,1724,2879,337,1709,2911,396,1604,2760
"03_23_audio","03_23_audio_0026","i",96,0.2004522878,1484.602698,1484.80315,"w","w","scwicwéye - ant (1)","03_23_audio_0026",171,0.2,"i1",3,"Black",599,6350,368,1064,2903,364,1935,2704,348,2310,2632,336,1255,2631,311,917,2605
"p2","p2_0196","e",589,0.1104888793,123.6232785,123.7337674,"t","k","mtsutekwe7","p2_0196",168.5,0.11,"e1",2,"Blue",196,6795,356,1846,2775,363,1467,2701,348,1241,2722,335,1001,2788,322,885,2822
"01_26_audio","01_26_audio_0023","í",57,0.2058434623,1679.110373,1679.316217,"c","e","necíkwem","01_26_audio_0023",270.9,0.204,"i2",8,"Black",23,5750,326,2128,2702,398,2286,2730,347,2525,2792,356,2706,2937,447,2642,2955
"04_05_b_audio","04_05_b_audio_0009","e",34,0.1088718561,173.1875819,173.2964538,"w","t","cwetcwét̓t / clean (2)","04_05_b_audio_0009",229.2,0.108,"e1",2,"Blue",710,7400,504,1622,2814,497,2054,3115,345,1976,3067,345,1775,3345,384,1789,3040
"03_16_audio","03_16_audio_0046","í",156,0.2249759309,2409.068884,2409.293859,"m","n","Ct̓eqw7min̓tn - sewing machine (1)","03_16_audio_0046",268.6,0.224,"i2",3,"Black",544,6200,488,1880,3072,480,2331,3149,342,2567,2967,323,2652,3062,321,2671,3040
"03_23_audio","03_23_audio_0014","í",52,0.2092925724,1309.304263,1309.513555,"ts","n","ckelltsín̓ten - key (1)","03_23_audio_0014",268.4,0.208,"i2",8,"Black",587,5450,330,2347,2831,393,2404,2743,337,2424,2755,370,2461,2770,300,1200,2636
"p2","p2_0313","u",967,0.1427873167,200.5371504,200.6799377,"k","k","kukwíw","p2_0313",164.9,0.142,"u1",5,"Olive",313,7442,352,915,3915,348,866,3897,336,794,3515,318,755,3134,319,751,2962
"01_26_audio","01_26_audio_0020","í",50,0.2138345976,1676.711003,1676.924838,"c","e","necíkwem","01_26_audio_0020",284.8,0.212,"i2",8,"Black",20,6050,311,2197,2793,352,2486,2836,335,2585,2895,324,2655,2885,387,2724,3053
"03_02_audio","03_02_audio_0021","í",66,0.1195135559,2340.717343,2340.836856,"s","ts","sítsem","03_02_audio_0021",287.4,0.118,"i2",8,"Black",355,5750,330,2225,2986,380,2324,2942,334,2345,3020,306,2385,3106,335,2383,3023
"p2","p2_0309","u",953,0.1052362859,197.1047637,197.21,"k","k","kukwíw","p2_0309",161,0.104,"u1",5,"Olive",309,7550,349,897,3750,337,837,3296,332,792,3316,317,798,3538,301,783,3425
"01_26_audio","01_26_audio_0056","ú",166,0.2723444328,4670.170992,4670.443337,"m","m̓","tmum̓t","01_26_audio_0056",255.2,0.272,"u2",5,"Olive",56,5450,333,713,2321,306,811,1899,331,823,1191,261,782,2053,329,1020,2607
"p2","p2_0214","ú",638,0.194914278,132.9131948,133.1081091,"ts2","t","mstntsútk","p2_0214",264.4,0.194,"u2",11,"Teal",214,7226,418,1831,2785,437,1442,2561,328,1572,2591,474,1658,2627,510,1647,2593
"01_26_audio","01_26_audio_0017","í",43,0.1850336837,1674.368241,1674.553274,"c","e","necíkwem","01_26_audio_0017",291.8,0.184,"i2",8,"Black",17,6050,314,2227,2771,325,2568,2719,327,2647,2758,330,2695,2966,412,2721,2918
"03_09_audio","03_09_audio_0027","i",97,0.0794164933,738.3946083,738.4740248,"t","y","kw̓elltiyénecum","03_09_audio_0027",218.5,0.078,"i1",3,"Black",395,5000,232,2218,3052,244,2379,3014,325,2384,2895,311,2465,2907,331,2497,2965
"01_26_audio","01_26_audio_0036","i",95,0.1563955542,3944.576074,3944.732469,"w","ts","witsín","01_26_audio_0036",192.6,0.156,"i1",3,"Black",36,5300,437,1552,2734,384,2334,2760,323,2505,2895,303,2551,3118,303,2539,3176
"02_09_audio","02_09_audio_0038","e",139,0.1889633489,1032.021585,1032.210548,"n","-","ye7éne","02_09_audio_0038",173.2,0.188,"e1",2,"Blue",105,5450,749,1573,3070,561,1567,2805,322,1726,3035,245,1701,3209,194,1852,3259
"01_26_audio","01_26_audio_0035","í",91,0.224973708,3942.308968,3942.533942,"ts","n","witsín","01_26_audio_0035",264.2,0.224,"i2",8,"Black",35,5750,279,2316,2669,299,2393,2571,305,2444,2676,307,2509,2868,382,2520,3005
"p2","p2_0311","u",960,0.1499441563,199.0100558,199.16,"k","k","kukwíw","p2_0311",146.1,0.148,"u1",5,"Olive",311,6255,357,941,3377,320,880,3150,305,855,3226,316,732,3247,296,943,2738
"04_20_audio","04_20_audio_0037","í",124,0.1295808756,563.0959827,563.2255636,"w","qw","T̓uqweqwíqw","04_20_audio_0037",274.6,0.128,"i2",8,"Black",842,6050,421,1997,2717,321,2219,2710,295,2333,2698,268,2166,2777,1011,1798,2986
"03_16_audio","03_16_audio_0051","ə2",178,0.08799820682,2768.31764,2768.405638,"q","m","qmut (1) hat","03_16_audio_0051",252.9,0.086,"b2",11,"Teal",549,6650,281,1278,3261,254,1216,3271,259,1329,2991,255,1061,2917,260,682,2793
"01_26_audio","01_26_audio_0034","i",89,0.2097031414,3941.972848,3942.182551,"w","ts","witsín","01_26_audio_0034",219.4,0.208,"i1",3,"Black",34,5150,311,1925,2607,268,2423,2821,248,2433,2889,234,1684,2644,339,1596,2583
