"inputfile","outputfile","vowel","interval","duration","start","end","previous_sound","next_sound","word","file","f0","duration.1","label","group","color","number","cutoff","f11","f21","f31","f12","f22","f32","f13","f23","f33","f14","f24","f34","f15","f25","f35"
"03_23_audio","03_23_audio_0019","í",71,0.1527239849,1314.919718,1315.072442,"ts","n̓","ckelltsín̓ten - key (3)","03_23_audio_0019",262,0.152,"i2",8,"Black",592,5900,345,2250,2993,434,2345,2800,450,2515,2638,504,2480,2653,598,2672,2782
"04_05_a_audio","04_05_a_audio_0045","e",175,0.0893385946,811.1208831,811.2102217,"s","s","Sesísle7 / a few (3) last word of clip","04_05_a_audio_0045",229.9,0.088,"e1",2,"Blue",699,5750,432,1935,3024,447,1780,2940,450,1793,2951,433,1881,2938,389,1822,3148
"p2","p2_0120","e",360,0.03015888383,72.57984112,72.61,"t","m","te","p2_0120",207.3,0.03,"e1",2,"Blue",120,5500,467,1879,2665,458,1841,2650,448,1778,2587,435,1732,2521,419,1643,2484
"p2","p2_0312","í",963,0.1743333518,199.3786464,199.5529797,"w","w","kukwíw","p2_0312",229.9,0.174,"i2",9,"Lime",312,6471,433,1256,2681,453,1263,2672,448,1440,2669,434,1508,2762,408,1239,2841
"04_05_b_audio","04_05_b_audio_0003","e",10,0.05165002033,119.9376753,119.9893253,"k","t","ketkét̕t / dirty (2)","04_05_b_audio_0003",219.5,0.05,"e1",2,"Blue",704,5450,458,2433,2900,453,2510,2884,447,2421,2886,444,2353,2968,431,2284,2986
"p2","p2_0252","ə2",741,0.1145619169,151.6559696,151.7705315,"qw","ts2","mqwtséqen","p2_0252",204.3,0.114,"b2",12,"Navy",252,6795,494,1163,3061,504,1308,2880,447,1528,2914,381,1481,2878,362,1496,2876
"03_16_audio","03_16_audio_0054","ú",186,0.1585120692,2773.474816,2773.633328,"m","m̓","Q̓mum̓ét (little hat) (1)","03_16_audio_0054",281.7,0.158,"u2",5,"Olive",552,6050,469,916,2779,526,863,2732,446,863,2587,379,888,2512,423,805,2748
"p2","p2_0290","í",873,0.2025587516,176.9594584,177.1620171,"y","l","mq̓wq̓yílct","p2_0290",214.4,0.202,"i2",9,"Lime",290,5932,447,2260,2684,450,1543,2611,444,1647,2661,425,1389,2701,402,1285,2633
"03_09_audio","03_09_audio_0100","u",325,0.1628252092,1917.052103,1917.214928,"p","p","wupupépel̓cken","03_09_audio_0100",242.4,0.162,"u1",5,"Olive",468,6350,315,991,2575,460,757,2913,443,823,2918,374,739,2904,313,627,2960
"p2","p2_0082","í",259,0.11,53.64,53.75,"s","s","síse7","p2_0082",254.8,0.11,"i2",9,"Lime",82,5500,329,2296,2895,405,2339,2918,443,2341,2896,415,2489,2999,330,2461,2977
"p2","p2_0332","ú",1047,0.1538965921,220.981432,221.1353286,"k7","ts1","k̓útse","p2_0332",270.7,0.152,"u2",11,"Teal",332,7011,502,1046,4362,524,1103,4013,443,1143,2968,304,1337,3013,327,1185,3073
"p2","p2_0100","í",308,0.1120849321,61.42562572,61.53771065,"s","s","síse7","p2_0100",241.6,0.112,"i2",9,"Lime",100,5608,357,2285,2932,433,2379,2952,442,2408,2961,413,2459,3001,375,2439,3039
"03_09_audio","03_09_audio_0056","e",180,0.1619164061,1064.283439,1064.445355,"t","ts","Lé7 te tsitslem te kw̓elltiyénecum","03_09_audio_0056",234.5,0.16,"e1",2,"Blue",424,6350,471,2342,3105,472,2142,3271,441,2173,3246,368,2165,3186,285,2546,3447
"p2","p2_0189","ú",572,0.1307325177,118.54,118.6707325,"ts2","t","mtsutekwe7","p2_0189",249.3,0.13,"u2",11,"Teal",189,5500,294,1977,2639,415,1770,2549,440,1649,2558,331,1867,2564,266,1792,2522
"03_02_audio","03_02_audio_0028","é",87,0.1456068674,2414.795423,2414.94103,"p","ts","qwetspétsets","03_02_audio_0028",190.8,0.144,"e2",7,"Magenta",362,6050,476,1209,2687,424,1543,2784,438,1541,2921,433,1647,2856,661,2392,3005
"03_30_audio","03_30_audio_0013","ú",91,0.09174545694,612.7772772,612.8690226,"k","p","ckúpcen̓","03_30_audio_0013",299.9,0.09,"u2",10,"Purple",631,6350,322,1116,2900,360,1058,2867,436,975,2871,398,932,2819,341,812,2849
"02_09_audio","02_09_audio_0022","í",84,0.2056277918,691.5507894,691.7564172,"w","k","wellen wí7kt","02_09_audio_0022",277.8,0.204,"i2",8,"Black",89,5450,507,1720,2714,472,2508,2807,435,2624,2850,400,2571,2786,392,2498,2803
"p2","p2_0190","e",574,0.1112412816,118.7819738,118.8932151,"t","k","mtsutekwe7","p2_0190",201.5,0.11,"e1",2,"Blue",190,7334,309,1950,2773,418,1350,2743,435,1086,2821,355,1076,2805,320,1179,3284
"01_26_audio","01_26_audio_0065","e",210,0.1058367027,4803.834312,4803.940149,"m","s","tmúsmes","01_26_audio_0065",188.1,0.104,"e1",2,"Blue",65,7550,376,1857,2704,445,1851,2805,433,1883,2896,407,1894,2801,388,1838,2873
"p2","p2_0152","ə1",470,0.06868943298,93.64669687,93.71538631,"k7","l","sk̓lep","p2_0152",215.6,0.068,"b1",6,"Yellow",152,6471,565,1383,2483,433,1061,2466,433,1088,2397,431,1133,2340,452,1317,2625
"01_26_audio","01_26_audio_0016","e",41,0.109077225,1673.976718,1674.085795,"n","c","necíkwem","01_26_audio_0016",215.4,0.108,"e1",2,"Blue",16,5900,395,2083,2900,436,2096,2835,431,2053,2772,393,1889,2829,404,1790,2619
"02_16_audio","02_16_audio_0011","e",40,0.07838234559,2356.459661,2356.538044,"gw","s","gwesgwést","02_16_audio_0011",183.8,0.078,"e1",2,"Blue",183,5600,442,1070,2804,437,1235,2656,431,1357,2635,402,1476,2630,361,1897,2738
"p2","p2_0109","í",332,0.1241416615,65.78205793,65.90619959,"s","s","síse7","p2_0109",222.8,0.124,"i2",9,"Lime",109,5716,357,2334,2966,417,2342,2925,431,2413,2989,418,2479,3016,355,2493,3060
"02_09_audio","02_09_audio_0015","í",55,0.1851991877,518.3009584,518.4861575,"w","7","7newí7","02_09_audio_0015",271.6,0.184,"i2",8,"Black",82,5150,406,1742,2700,353,2023,2581,430,2479,2665,495,2534,2825,416,2602,2851
"03_09_audio","03_09_audio_0029","e",101,0.08957748568,738.674821,738.7643985,"n","c","kw̓elltiyénecum","03_09_audio_0029",266.7,0.088,"e1",2,"Blue",397,6350,562,1625,3060,573,1539,3061,430,1290,2863,343,1056,2953,310,1140,2951
"03_09_audio","03_09_audio_0053","e",172,0.1184081701,1062.535064,1062.653472,"n","c","Lé7 te tsitslem te kw̓elltiyénecum","03_09_audio_0053",170.2,0.118,"e1",2,"Blue",421,5300,596,1545,2842,562,1511,2767,429,1237,2850,363,1195,2548,381,1046,2601
"03_16_audio","03_16_audio_0038","ú",128,0.2069324604,2187.852169,2188.059101,"m","ll","Nuqwnuq̓wmúll (3) thief","03_16_audio_0038",212,0.206,"u2",10,"Purple",536,5150,416,824,2281,464,878,2584,429,885,2540,403,900,2457,355,1001,2505
"p2","p2_0206","í",617,0.1743374998,128.3256625,128.5,"7","kw","t7ikw","p2_0206",239.9,0.174,"i2",9,"Lime",206,6147,425,2583,3135,441,2638,3307,429,2603,3231,374,2612,2847,337,2590,2900
"01_26_audio","01_26_audio_0037","í",97,0.1716336436,3944.874147,3945.045781,"ts","n","witsín","01_26_audio_0037",241,0.17,"i2",8,"Black",37,5600,293,2389,2706,387,2364,2651,428,2433,2714,446,2532,2818,405,2520,2918
"03_23_audio","03_23_audio_0017","í",62,0.1640145435,1313.160901,1313.324916,"ts","n̓","ckelltsín̓ten - key (2)","03_23_audio_0017",270.5,0.164,"i2",8,"Black",590,4700,350,2189,2669,479,2174,2507,428,1575,2615,342,600,2563,337,760,2643
"p2","p2_0237","e",704,0.164371446,144.9315965,145.095968,"n","y","newí7s","p2_0237",213.3,0.164,"e1",2,"Blue",237,5824,469,2162,2932,487,2224,2861,428,2263,2950,409,2409,3005,420,2491,3222
"02_09_audio","02_09_audio_0053","e",181,0.04995406856,2092.391901,2092.441855,"n","n","nen stenes","02_09_audio_0053",187.6,0.048,"e1",2,"Blue",120,5600,491,1942,2859,445,1917,2890,427,1908,2872,413,1908,2869,390,1911,2865
"04_05_b_audio","04_05_b_audio_0005","e",17,0.1689067194,121.8612232,122.0301299,"k","k","ketkét̕t / dirty (3)","04_05_b_audio_0005",230.2,0.168,"e1",2,"Blue",706,5450,351,2593,2947,444,2559,3026,427,2363,2972,422,2224,2932,423,2267,2972
"p2","p2_0334","ú",1052,0.1142796476,222.7936459,222.9079256,"k7","ts1","k̓útse","p2_0334",187.7,0.114,"u2",11,"Teal",334,6147,443,1214,1282,425,1225,2563,427,1332,2739,403,1379,2731,414,1549,2769
"01_26_audio","01_26_audio_0061","ú",192,0.209100961,4742.122294,4742.331395,"m","t","tmut","01_26_audio_0061",266.8,0.208,"u2",5,"Olive",61,6650,329,898,3030,377,864,3118,425,1046,2997,380,1343,3017,368,1394,3156
"02_16_audio","02_16_audio_0013","e",48,0.06938765019,2358.086813,2358.156201,"gw","s","gwesgwést","02_16_audio_0013",192.4,0.068,"e1",2,"Blue",185,7250,411,1255,2769,426,1380,2743,425,1472,2714,422,1709,2749,421,2071,2924
"02_16_audio","02_16_audio_0025","e",97,0.08994695395,2539.04775,2539.137697,"t","k","tektémtemt","02_16_audio_0025",155.1,0.088,"e1",2,"Blue",197,5300,453,2157,2750,459,2071,2737,425,1980,2693,375,2062,2708,369,1970,2706
"02_09_audio","02_09_audio_0065","i",219,0.1370641562,2322.046355,2322.183419,"m̓","-","stémi7","02_09_audio_0065",276.7,0.136,"i1",3,"Black",132,6500,512,2373,2819,479,2550,3608,424,2641,3460,342,2693,3360,340,2737,3327
"p2","p2_0201","í",604,0.1394666814,125.5874955,125.7269622,"7","kw","mllept re t7ikw","p2_0201",244.3,0.138,"i2",9,"Lime",201,5500,458,2556,3031,448,2620,3049,424,2565,2917,366,2563,2787,325,2510,2737
"p2","p2_0319","í",995,0.1054301699,210.3775379,210.4829681,"w","s","wísemcen","p2_0319",209.9,0.104,"i2",9,"Lime",319,7011,436,1021,3565,430,1267,3610,424,1371,2832,432,1945,2698,397,2540,2863
"03_09_audio","03_09_audio_0043","e",139,0.03962604128,1058.834046,1058.873672,"w","ll","Lé7 te tsitslem te kw̓elltiyénecum","03_09_audio_0043",231.8,0.038,"e1",2,"Blue",411,5600,463,1090,2999,425,1245,2381,423,1498,2352,438,1677,2462,333,1581,2325
"04_13_audio","04_13_audio_0036","e",155,0.1369352247,649.4046675,649.5416028,"w","t","qwetqwétn","04_13_audio_0036",194.2,0.136,"e1",2,"Blue",781,6500,543,1120,3124,515,1324,3016,423,1423,2913,409,1477,2808,485,1878,2772
"01_26_audio","01_26_audio_0066","ú",215,0.1348835709,4804.55448,4804.689363,"m","s","tmúsmes","01_26_audio_0066",230.5,0.134,"u2",10,"Purple",66,5150,329,1017,2175,410,1029,2599,422,1206,2739,408,1695,2697,319,1959,2769
"04_05_a_audio","04_05_a_audio_0019","í",84,0.1091777182,540.6971457,540.8063234,"s","s","cpespesíselt / kittens (2)","04_05_a_audio_0019",263.8,0.108,"i2",8,"Black",673,5300,354,2300,2840,470,2189,2833,422,2307,2900,417,2470,2966,344,2475,3010
"p2","p2_0316","ú",980,0.1411269991,205.2705663,205.4116933,"c","y","cúyt","p2_0316",204.8,0.14,"u2",11,"Teal",316,6471,435,920,3083,431,949,3087,422,1078,2764,393,1249,2729,373,1553,2673
"p2","p2_0195","ú",587,0.06973334071,123.4381531,123.5078865,"ts2","t","mtsutekwe7","p2_0195",210.9,0.068,"u2",11,"Teal",195,6147,407,1771,2576,420,1702,2574,421,1692,2556,416,1677,2542,412,1849,2538
"p2","p2_0318","ú",990,0.1178825521,209.4303442,209.5482268,"c","y","cúyt","p2_0318",213.6,0.116,"u2",11,"Teal",318,5824,439,968,2850,424,1009,2840,421,1066,2782,421,1066,2782,421,1077,2792
"01_26_audio","01_26_audio_0011","e",28,0.08468307958,1465.559591,1465.644274,"t","t","petetét","01_26_audio_0011",157.9,0.084,"e1",2,"Blue",11,5450,386,1927,2765,425,1791,2831,420,1776,2917,397,1717,2984,404,1758,3001
"02_09_audio","02_09_audio_0018","í",68,0.1587824343,656.2888196,656.447602,"w","k","wellen wí7kt","02_09_audio_0018",276.2,0.158,"i2",8,"Black",85,6800,323,2062,2802,346,2579,2797,420,2636,2882,379,2608,2856,387,2621,2918
"03_09_audio","03_09_audio_0035","u",117,0.1194051534,744.7134089,744.8328141,"k","m","kw̓elltiyénecum","03_09_audio_0035",184.5,0.118,"u1",5,"Olive",403,5750,390,875,2460,415,925,2499,420,876,2594,359,866,2543,333,876,2636
"03_09_audio","03_09_audio_0069","e",226,0.08102110226,1477.68074,1477.761761,"t","q","teqtsiqw","03_09_audio_0069",222.1,0.08,"e1",2,"Blue",437,4700,466,2346,2655,432,2252,2593,420,2291,2585,389,2306,2547,360,2195,2569
"03_30_audio","03_30_audio_0025","ú",133,0.1173410623,860.1779549,860.295296,"k̓","l","ck̓úlusem","03_30_audio_0025",210.1,0.116,"u2",10,"Purple",643,7550,413,813,4060,412,838,4047,420,853,4132,424,871,3219,430,976,2772
"02_16_audio","02_16_audio_0017","í",65,0.07324251965,2365.993217,2366.066459,"w","s","xwisteten","02_16_audio_0017",211.3,0.072,"i2",3,"Black",189,7100,437,1283,2696,427,1848,2576,419,2153,2685,397,2404,2876,353,2612,3097
"03_16_audio","03_16_audio_0052","ú",180,0.1670808742,2768.461825,2768.628906,"m","t","qmut (1) hat","03_16_audio_0052",332.9,0.166,"u2",5,"Olive",550,7100,387,957,3509,379,992,3010,419,957,2952,371,1504,2951,394,1774,2921
"04_20_audio","04_20_audio_0035","u",119,0.1474745708,562.4525186,562.5999932,"t̓","qw","T̓uqweqwíqw","04_20_audio_0035",217.9,0.146,"u1",5,"Olive",840,5900,443,1069,2641,435,972,2632,419,849,2694,421,1030,2681,424,1116,2652
"p2","p2_0184","e",560,0.1581452548,114.3021905,114.4603357,"t","k","mtsutekwe7","p2_0184",221.3,0.158,"e1",2,"Blue",184,5500,312,2072,2687,444,1507,2709,418,1235,2717,385,1000,2740,370,966,2678
"p2","p2_0200","é",600,0.127682752,125.2753558,125.4030385,"-","t","mllept re t7ikw","p2_0200",197.1,0.126,"e2",8,"Orange",200,6687,518,2047,2963,494,2017,3017,416,1998,2977,371,2023,3127,441,1979,3111
"01_26_audio","01_26_audio_0064","ú",207,0.1216547908,4803.226619,4803.348274,"m","s","tmúsmes","01_26_audio_0064",216.6,0.12,"u2",10,"Purple",64,5300,383,1159,2432,416,1101,2738,414,1134,2695,398,1193,2645,450,1795,2754
"03_30_audio","03_30_audio_0017","u",107,0.04642770876,719.6011545,719.6475822,"k","p","ckupwíl̓epten","03_30_audio_0017",203.9,0.046,"u1",5,"Olive",635,7250,429,886,3325,425,837,2738,414,801,2812,401,812,2835,402,808,2841
"p2","p2_0315","ú",975,0.1226323376,202.1986056,202.321238,"c","y","cúyt","p2_0315",210,0.122,"u2",11,"Teal",315,6147,441,905,2938,426,901,2938,414,1066,2884,406,1219,2784,396,1331,2681
"02_09_audio","02_09_audio_0017","é",64,0.04664338586,655.89191,655.9385534,"w","ll","wellen wí7kt","02_09_audio_0017",240.8,0.046,"e2",2,"Blue",84,6200,471,969,2772,462,910,2779,413,1031,2777,311,1253,2795,312,1760,2824
"p2","p2_0232","e",691,0.1842952576,142.4147928,142.5990881,"n","y","newí7s","p2_0232",203.4,0.184,"e1",2,"Blue",232,5716,429,2109,2858,448,2199,2894,413,2380,2903,401,2463,3006,388,2546,3009
"p2","p2_0234","ə1",697,0.0879968347,143.5437827,143.6317796,"w","7","w7éce","p2_0234",165.4,0.088,"b1",6,"Yellow",234,7550,356,763,3689,376,779,4012,412,832,3801,503,906,4316,571,964,4427
"04_13_audio","04_13_audio_0038","e",164,0.1058656072,652.1773634,652.283229,"w","t","qwetqwétn","04_13_audio_0038",160.5,0.104,"e1",2,"Blue",783,5900,499,1334,2975,449,1451,3116,411,1442,2284,426,1355,2266,421,1617,2550
